10 3.415927e-01
100 5.840735e-02
1000 3.040735e-02
10000 1.360735e-02
100000 1.167346e-03
1000000 2.095346e-03
10000000 5.173464e-04
100000000 7.746641e-05
1000000000 6.445841e-05
10000000000 5.550410e-06
10 4.584073e-01
100 2.159265e-02
1000 5.359265e-02
10000 7.992654e-03
100000 8.207346e-03
1000000 1.571346e-03
10000000 3.185464e-04
100000000 2.468264e-04
1000000000 6.910641e-05
10 4.584073e-01
100 1.415927e-01
1000 6.640735e-02
10000 1.119265e-02
100000 4.726536e-04
1000000 1.223346e-03
10000000 9.853590e-06
10 1.941593e+00
100 2.615927e-01
1000 5.359265e-02
10000 6.792654e-03
100000 1.463265e-02
1000000 1.847346e-03
10 1.941593e+00
100 2.615927e-01
1000 5.359265e-02
10000 6.792654e-03
100000 1.463265e-02
1000000 1.847346e-03
10 1.941593e+00
100 2.615927e-01
1000 5.359265e-02
10000 6.792654e-03
100000 1.463265e-02
1000000 1.847346e-03
10 1.941593e+00
100 2.615927e-01
1000 5.359265e-02
10000 6.792654e-03
100000 1.463265e-02
1000000 1.847346e-03
10000000 1.065359e-05
10 4.584073e-01
100 6.159265e-02
1000 1.359265e-02
10000 1.239265e-02
100000 4.552654e-03
1000000 2.993464e-04
10000000 3.725464e-04
